RowId,ItemId,ChestId,Min,Max,Probability
1,31423,1,1,1,12.19
2,38467,1,1,1,11.6
3,3781,1,1,1,17.31
4,31422,1,1,1,12.13
5,31424,1,1,1,11.05
6,31426,1,1,1,10.75
7,31425,1,1,1,10.46
8,36374,1,1,1,25.18
9,3786,1,1,1,16.12
10,31428,1,1,1,10.65
11,31427,1,1,1,10.46
12,3787,1,1,1,15.97
13,31421,1,1,1,10.71
14,2683,2,1,1,16.91
15,4310,2,1,1,24.51
16,2684,2,1,1,16.15
17,4096,2,1,1,24.84
18,3555,2,1,1,16.29
19,4207,2,1,1,25
20,3556,2,1,1,17.48
21,3554,2,1,1,16.49
22,4206,2,1,1,25.65
23,2679,2,1,1,16.68
24,3329,3,1,1,17.36
25,3331,3,1,1,16.82
26,3035,3,1,1,16.09
27,3034,3,1,1,16.51
28,3033,3,1,1,16.79
29,3330,3,1,1,16.43
30,3786,4,1,1,32.48
31,3787,4,1,1,30.87
32,3781,4,1,1,36.66
33,2684,5,1,1,17.26
34,3554,5,1,1,16.24
35,3556,5,1,1,17.26
36,2683,5,1,1,15.74
37,3555,5,1,1,16.75
38,2679,5,1,1,16.75
39,3035,6,1,1,25
40,3331,6,1,1,18.52
41,3033,6,1,1,17.59
42,3034,6,1,1,16.67
43,3329,6,1,1,13.89
44,3330,6,1,1,8.33
45,31426,7,1,1,10.26
46,31421,7,1,1,16.24
47,2682,7,1,1,8.55
48,31424,7,1,1,11.11
49,3031,7,1,1,2.56
50,31425,7,1,1,11.11
51,2235,7,1,1,6.84
52,31427,7,1,1,9.4
53,38467,7,1,1,16.24
54,31428,7,1,1,9.4
55,3782,7,1,1,7.69
56,3030,7,1,1,10.26
57,31423,7,1,1,7.69
58,31422,7,1,1,8.55
59,3032,7,1,1,2.56
60,3783,7,1,1,3.42
61,3781,8,1,1,16.67
62,31426,8,1,1,10.91
63,31427,8,1,1,10.61
64,38467,8,1,1,11.5
65,3786,8,1,1,15.93
66,31421,8,1,1,11.32
67,3787,8,1,1,17.54
68,31428,8,1,1,11.5
69,31422,8,1,1,10.58
70,31425,8,1,1,11.83
71,31423,8,1,1,10.72
72,31424,8,1,1,11.02
73,3781,9,1,1,13.4
74,4096,9,1,1,10.46
75,4206,9,1,1,15.36
76,3786,9,1,1,13.73
77,4310,9,1,1,11.76
78,3787,9,1,1,21.24
79,4207,9,1,1,14.05
80,2679,10,1,1,16.41
81,2683,10,1,1,17.04
82,3556,10,1,1,16.62
83,3555,10,1,1,16.74
84,2684,10,1,1,16.52
85,3554,10,1,1,16.66
86,2684,11,1,1,17.49
87,4206,11,1,1,24.66
88,3556,11,1,1,17.1
89,4207,11,1,1,23.99
90,3554,11,1,1,16.69
91,4096,11,1,1,26.11
92,4310,11,1,1,25.24
93,2679,11,1,1,15.5
94,3555,11,1,1,17.31
95,2683,11,1,1,15.92
96,3331,12,1,1,16.51
97,3035,12,1,1,17.6
98,3330,12,1,1,16.86
99,3033,12,1,1,15.75
100,3329,12,1,1,16.75
101,3034,12,1,1,16.54
102,3331,13,1,1,16.62
103,3035,13,1,1,17.15
104,3329,13,1,1,17.15
105,3034,13,1,1,16.62
106,3330,13,1,1,16.67
107,3033,13,1,1,15.79
108,31425,14,1,1,11.73
109,2682,14,1,1,7.92
110,31422,14,1,1,10.26
111,3031,14,1,1,6.74
112,31421,14,1,1,10.41
113,31426,14,1,1,11.29
114,3783,14,1,1,5.72
115,38467,14,1,1,11.44
116,31424,14,1,1,10.12
117,2235,14,1,1,8.8
118,31427,14,1,1,12.32
119,31423,14,1,1,10.41
120,3030,14,1,1,5.72
121,31428,14,1,1,12.02
122,3032,14,1,1,7.18
123,3782,14,1,1,8.8
124,3555,15,1,1,16.39
125,4310,15,1,1,24.91
126,2683,15,1,1,17.54
127,4207,15,1,1,24.63
128,3556,15,1,1,16.56
129,3554,15,1,1,16.33
130,4206,15,1,1,25.25
131,4096,15,1,1,25.21
132,2684,15,1,1,16.4
133,2679,15,1,1,16.78
134,3781,16,1,1,16.52
135,4207,16,1,1,12.75
136,3787,16,1,1,17.21
137,3786,16,1,1,16.87
138,4310,16,1,1,11.78
139,4096,16,1,1,13.04
140,4206,16,1,1,11.84
141,31421,17,1,1,10.73
142,33130,17,1,1,24.69
143,38467,17,1,1,10.72
144,31422,17,1,1,11.34
145,31427,17,1,1,11.32
146,3781,17,1,1,16.41
147,31426,17,1,1,10.72
148,31423,17,1,1,10.77
149,31424,17,1,1,11.11
150,31425,17,1,1,11.42
151,3786,17,1,1,17.17
152,3787,17,1,1,17.32
153,31428,17,1,1,11.87
154,3033,18,1,1,17.3
155,3331,18,1,1,17.88
156,3329,18,1,1,16.33
157,3034,18,1,1,15.74
158,3035,18,1,1,16.21
159,3330,18,1,1,16.54
160,3554,19,1,1,15.42
161,2679,19,1,1,16.69
162,2683,19,1,1,17.14
163,3555,19,1,1,16.01
164,2684,19,1,1,17.19
165,3556,19,1,1,17.55
166,3034,20,1,1,16.98
167,3331,20,1,1,16.31
168,3035,20,1,1,16.71
169,3033,20,1,1,16.66
170,3330,20,1,1,16.82
171,3329,20,1,1,16.52
172,31425,21,1,1,10.2
173,3030,21,1,1,7.55
174,31423,21,1,1,11.9
175,31426,21,1,1,10.67
176,38467,21,1,1,9.63
177,31427,21,1,1,9.07
178,31421,21,1,1,11.8
179,2682,21,1,1,6.42
180,31422,21,1,1,13.31
181,31424,21,1,1,11.9
182,2235,21,1,1,8.03
183,3031,21,1,1,8.88
184,3782,21,1,1,7.84
185,3032,21,1,1,7.46
186,3783,21,1,1,6.7
187,31428,21,1,1,11.52
188,1901,22,1,1,11.04
189,38469,22,1,1,11.04
190,2065,22,1,1,17.79
191,9189,22,1,1,10.43
192,1693,22,1,1,12.27
193,1763,22,1,1,9.82
194,2152,22,1,1,4.91
195,2006,22,1,1,10.43
196,1832,22,1,1,12.27
197,3054,23,1,1,19.53
198,31439,23,1,1,15.45
199,31435,23,1,1,15.74
200,3056,23,1,1,16.04
201,31431,23,1,1,16.91
202,3055,23,1,1,16.33
203,31432,24,1,1,16.98
204,31440,24,1,1,17.08
205,4434,24,1,1,18.93
206,4210,24,1,1,14.61
207,4101,24,1,1,16.05
208,31436,24,1,1,16.36
209,31430,25,1,1,18.02
210,2722,25,1,1,15.9
211,2718,25,1,1,16.72
212,31438,25,1,1,16.81
213,2721,25,1,1,16.44
214,31434,25,1,1,16.11
215,3054,26,1,1,15.66
216,3056,26,1,1,16.59
217,31431,26,1,1,16.66
218,31435,26,1,1,16.91
219,3055,26,1,1,17.31
220,31439,26,1,1,16.87
221,31434,27,1,1,16.57
222,2718,27,1,1,16.29
223,2721,27,1,1,16.97
224,2722,27,1,1,16.81
225,31430,27,1,1,16.95
226,31438,27,1,1,16.41
227,2006,28,1,1,11.96
228,4434,28,1,1,33.45
229,1693,28,1,1,11.94
230,4101,28,1,1,33.43
231,2065,28,1,1,11.33
232,33125,28,1,1,24.28
233,2152,28,1,1,10.73
234,4210,28,1,1,33.12
235,38469,28,1,1,10.51
236,1832,28,1,1,10.76
237,9189,28,1,1,10.56
238,1901,28,1,1,10.93
239,1763,28,1,1,11.28
240,4210,29,1,1,17.24
241,4101,29,1,1,15.98
242,31440,29,1,1,18.76
243,4434,29,1,1,19.75
244,31436,29,1,1,15.08
245,31432,29,1,1,13.2
246,2718,30,1,1,14.8
247,2722,30,1,1,16.84
248,31430,30,1,1,15.95
249,31438,30,1,1,19.16
250,31434,30,1,1,16.76
251,2721,30,1,1,16.49
252,31435,31,1,1,14.95
253,3055,31,1,1,16.85
254,31439,31,1,1,16.49
255,3054,31,1,1,16.85
256,3056,31,1,1,18.39
257,31431,31,1,1,16.49
258,2006,32,1,1,11.02
259,1901,32,1,1,12.26
260,38469,32,1,1,11.1
261,2152,32,1,1,10.85
262,1693,32,1,1,12.26
263,1832,32,1,1,11.6
264,1763,32,1,1,11.35
265,9189,32,1,1,9.53
266,2065,32,1,1,10.02
267,4434,33,1,1,35.2
268,4101,33,1,1,32.15
269,4210,33,1,1,32.65
270,3584,34,1,1,16.79
271,31448,34,1,1,16.86
272,2748,34,1,1,16.9
273,3585,34,1,1,15.95
274,2749,34,1,1,16.92
275,2747,34,1,1,16.58
276,2748,35,1,1,16.51
277,3585,35,1,1,17.56
278,31448,35,1,1,16.81
279,3584,35,1,1,16.1
280,2749,35,1,1,17.5
281,2747,35,1,1,15.51
282,3824,36,1,1,33.65
283,31443,36,1,1,32.79
284,31446,36,1,1,33.56
